,Model,Medialness,Angle,Orthogonality
0,finetune_40_v2,0.9748886570921137,0.18584312315823556,0.43838131862126206
0,finetune_40_v2,0.985763112287052,0.17550456625629696,0.41493948590947266
0,finetune_40_v2,0.9703783816573548,0.22786188864168277,0.44880615510253574
0,finetune_40_v2,0.9965356119920377,0.1747711311210023,0.5137817583444373
0,finetune_40_v2,0.9689380996322445,0.16148632909021823,0.44298318081825117
0,finetune_40_v2,0.9840571989903734,0.15340806461241216,0.4716950129914236
0,finetune_40_v2,0.9741696802475863,0.16342268120780454,0.47978434236973855
0,finetune_40_v2,0.9802571671562738,0.1799760639544345,0.49208891109403874
0,finetune_40_v2,0.9670317224008643,0.2737637917340023,0.4991168641901999
0,finetune_40_v2,0.9767088201606652,0.2005861478961414,0.5127266148811218
0,finetune_40_v2,0.9795473125015474,0.33091363580529726,0.5080166049005028
0,finetune_40_v2,0.9798938126979495,0.15755388151499758,0.44967952720775367
0,finetune_40_v2,0.9760731257020424,0.19622702028464575,0.5062034739875251
0,finetune_40_v2,0.974466865397101,0.2639751051143679,0.4725597660736408
0,finetune_40_v2,0.9694884151646527,0.25719309560925463,0.5330568887457243
0,finetune_40_v2,0.9840822475718075,0.2715226260563059,0.4950091282018036
0,finetune_40_v2,0.9720828246318978,0.21739017505308864,0.5396877772907586
0,finetune_40_v2,0.9783513191073538,0.26439751305853,0.49229567882083014
0,finetune_40_v2,0.9604651270052164,0.2015107816688277,0.44717666320648986
0,finetune_40_v2,0.9816152758294431,0.1747857255030242,0.48968937790982053
0,finetune_40_v2,0.9670587478355093,0.18570316716110216,0.43250454736964133
0,finetune_40_v2,0.9688478392399622,0.15681642054434572,0.420986548273766
0,finetune_40_v2,0.9800871568777422,0.17126584802272354,0.3941973705207107
0,finetune_40_v2,0.9751440546351992,0.14420017961814022,0.4858903090564638
0,finetune_40_v2,0.9880399674487073,0.28034812057032416,0.5733183858271301
0,finetune_40_v2,0.9679846829349243,0.15246477150841778,0.42644407069098206
0,finetune_40_v2,0.9754144123959887,0.17889341216488006,0.4448518431386741
0,finetune_40_v2,0.9911100609941097,0.1764176966606595,0.5036203811479042
0,finetune_40_v2,0.9773275074148539,0.17873917762551933,0.4042940748807382
0,finetune_40_v2,0.9703057727655916,0.16748220109234216,0.46582239621978583
0,finetune_40_v2,0.9926314312664346,0.19170835148801313,0.4581340172584902
0,finetune_40_v2,0.9897413190132996,0.16237115547096548,0.44331787261591504
0,finetune_40_v2,0.9697304559665022,0.19928437528259557,0.47051252342532307
0,finetune_40_v2,0.9751264008002554,0.1771399510748396,0.4439081007016938
0,finetune_40_v2,0.9881885037164437,0.15172552136447898,0.487156456368593
0,finetune_40_v2,0.9813861036772725,0.18064596708393407,0.45793566680278547
0,finetune_40_v2,0.9753610970304825,0.20771756906965727,0.46125011963440105
0,finetune_40_v2,0.9727466317768436,0.2220414968692566,0.4353325592282984
0,finetune_40_v2,0.9819475119225237,0.18374371389721597,0.43074705084256154
0,finetune_40_v2,0.9792790725046169,0.17449813855037224,0.5121578277198304
0,finetune_40_v2,0.9865771881162254,0.20810662227435547,0.5286835859784089
0,finetune_40_v2,0.9827979371888457,0.19467715156037835,0.466025898531872
0,finetune_40_v2,0.9889026711522181,0.2573304260770713,0.528348684405657
0,finetune_40_v2,0.9653752707430558,0.20481893285637917,0.43606835436590835
0,finetune_40_v2,0.9842507851441799,0.16721892086356954,0.46706972410768566
0,finetune_40_v2,0.968535039609443,0.17703775593096568,0.39615269835448663
0,finetune_40_v2,0.9783381888771109,0.16895228595956474,0.49651332148464394
0,finetune_40_v2,0.9695042581157962,0.16558178753968203,0.39651412620199356
0,finetune_40_v2,0.9773546281381584,0.1777424237445873,0.4764319531904568
0,finetune_40_v2,0.9823967930521537,0.2288092347321688,0.49981123919489767
0,finetune_40_v2,0.9688050127428948,0.2501377618873837,0.47019854104376807
0,finetune_40_v2,0.9694753850509364,0.2813970347360818,0.5231244320657176
0,finetune_40_v2,0.9869214360698046,0.1790104618835941,0.4235025063687507
0,finetune_40_v2,0.9621747613121151,0.17746610641136812,0.4307268993713506
0,finetune_40_v2,0.9848659154863942,0.16094469025457223,0.49501514941527475
0,finetune_40_v2,0.9852774445045452,0.1816828559716912,0.4572339468525832
0,finetune_40_v2,0.9702137262723579,0.1849931732083984,0.42352376971615424
0,finetune_40_v2,0.9589246722408538,0.28774862088045705,0.5012294630351476
0,scratch_50,0.9544384074401958,0.20506856256628003,0.5349065228337645
0,scratch_50,0.9832871142659978,0.13846521232029702,0.43100438119234635
0,scratch_50,1.0046591842480737,0.1251708734739579,0.45952921050452317
0,scratch_50,0.9718683380411746,0.13240147799316782,0.43515153563615844
0,scratch_50,0.9857204278500153,0.16893679935410508,0.5323724739592708
0,scratch_50,0.9985830473640742,0.20779920886108316,0.44470967880044504
0,scratch_50,0.9827996827172526,0.24720491636598352,0.5644122261905068
0,scratch_50,0.9961478696860987,0.1568727957955745,0.46940790434987556
0,scratch_50,1.0044744974121114,0.12584279090064823,0.443376708040663
0,scratch_50,0.967860388423782,0.18716213071719676,0.5038637996429293
0,scratch_50,0.9952427391908739,0.16355067058059686,0.42471543404585127
0,scratch_50,0.9864770987671863,0.1309070692454445,0.4614801279661291
0,scratch_50,0.9698789269767514,0.14208702086767983,0.4884202942247382
0,scratch_50,0.9800299826686601,0.141856965185117,0.46223861725964727
0,scratch_50,0.9907862208883271,0.17054303782375294,0.42048026661753773
0,scratch_50,0.980348234954221,0.17315206263307353,0.486828209371214
0,scratch_50,0.9764760937618422,0.13667647763280005,0.5064631550434244
0,scratch_50,0.981323098092858,0.13206130976061253,0.43348795546865726
0,scratch_50,0.9815203111676438,0.22008065091690704,0.48155367110092
0,scratch_50,1.0026928661107377,0.12133314919559857,0.46940828975176474
0,scratch_50,1.0159741845348673,0.1753654037546842,0.4486703986510789
0,scratch_50,0.9823552803685008,0.16252046189096211,0.4815299774557064
0,scratch_50,0.9817313009369002,0.16888203380228933,0.49068733322202535
0,scratch_50,0.9879727001153704,0.1463987805432866,0.43986969143945837
0,scratch_50,0.9692871539439559,0.18901942148906137,0.4998009481409377
0,scratch_50,1.002190751168986,0.14493916228420103,0.44819245848468253
